videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp
,https://www.instagram.com/p/DFpO8hrvI5b/,nextkids,,,14,,Playtime just got cuter  #nextkids,2025-02-04T09:01:02.000Z
171204.0,https://www.instagram.com/p/DFXPfnfg97H/,,59652.0,19.733,9,esterapawlak,Built-in besties for life @esterapawlak,2025-01-28T16:07:43.000Z
120936.0,https://www.instagram.com/p/DFZ2AuTA-Bz/,nextwomens,39172.0,49.5,32,thestylingthree,The perfect outfit to transition seamlessly from your desk to drinks ✨ @thestylingthree  #nextwomens,2025-01-29T09:08:15.000Z
,https://www.instagram.com/p/DFPe5_Fstin/,nextwomens,,,8,,The co-ord: the go-to piece for an effortless look  #nextwomens,2025-01-25T09:00:28.000Z
,https://www.instagram.com/p/DFmvCVAMiqg/,,,,1517,nexthome,"COMPETITION CLOSED  Welcome to your new home for home inspo  to celebrate our arrival we are giving you the chance to win £500 to spend at Next Home! ✨
To enter:
1. Follow @nexthome
2. Like this post 
3. Tag 3 friends
4. Post to stories 
Good luck and thanks for joining us! ✨Entries close at 5pm on the 10th February",2025-02-03T09:13:49.000Z
116788.0,https://www.instagram.com/p/DFUu2KSteG0/,nexthome,35666.0,8.933,10,beatricebeckett,Cancelled plans you say? oh no what a shame  @beatricebeckett #nexthome,2025-01-27T09:29:29.000Z
224920.0,https://www.instagram.com/p/DFSGH2GA3mW/,,69576.0,19.866,50,esterapawlak,Berry sweet  @esterapawlak,2025-01-26T08:55:17.000Z
,https://www.instagram.com/p/DFhgiCzNa5k/,nextwomens,,,9,,She's a signature staple for every wardrobe  #nextwomens,2025-02-01T09:00:56.000Z
191891.0,https://www.instagram.com/p/DFkRAJbg67c/,,58988.0,32.433,24,home.in.herts,There is nothing quite like the random motivation to get your life together on a Sunday ✨ @home.in.herts,2025-02-02T10:17:37.000Z
212565.0,https://www.instagram.com/p/DFfI_eGgC8f/,nextwomens,64160.0,7.766,26,,Wrapped up in colour  #nextwomens,2025-01-31T10:30:54.000Z
88115.0,https://www.instagram.com/p/DFcdfGYAeRz/,nextwomens,24073.0,21.066,10,whatgigiwears,Style never takes a day off  @whatgigiwears  #nextwomens,2025-01-30T09:31:35.000Z
174835.0,https://www.instagram.com/p/DEuIhcAgzqT/,nexthome,57636.0,14.566,12,,A little peek at some newness for you  #nexthome,2025-01-12T09:42:52.000Z
352040.0,https://www.instagram.com/p/DFKmOIqAYgB/,nexthome,117422.0,14.033,85,naomivictorias,Love is in the airrrrrr  @naomivictorias #nexthome,2025-01-23T10:58:18.000Z
143450.0,https://www.instagram.com/p/DE7C0PZA4xd/,nexthome,44602.0,17.4,9,,Let’s get some ✨colour✨ up in here #nexthome,2025-01-17T10:00:19.000Z
,https://www.instagram.com/p/DE9dcHNOz4s/,nextwomens,,,11,,3 co-ords for simple yet chic January dressing  #nextwomens,2025-01-18T09:00:56.000Z
81611.0,https://www.instagram.com/p/DFH1lIlgANC/,,17881.0,8.3,4,,"Well it is Wednesday…
️",2025-01-22T09:18:13.000Z
,https://www.instagram.com/p/DFFL0zaOLpW/,,,,6,,"A colour that demands attention  Versatile, timeless and effortlessly powerful...",2025-01-21T09:00:56.000Z
,https://www.instagram.com/p/DEwlbvaRhts/,nextwomens,,,7,,A staple for every wardrobe...  #nextwomens,2025-01-13T09:00:42.000Z
195953.0,https://www.instagram.com/p/DE1xab_gt0s/,,56031.0,4.766,27,,The ultimate cool girl trainer,2025-01-15T08:52:32.000Z
239501.0,https://www.instagram.com/p/DFALfu0gl2b/,nexthome,79996.0,16.233,64,jessicashomestyle,This is your ✨sign✨ to host a galentine’s brunch for your besties  @jessicashomestyle #nexthome,2025-01-19T10:01:05.000Z
118930.0,https://www.instagram.com/p/DFCsRtKAn_Z/,,30066.0,9.8,7,,,2025-01-20T09:18:04.000Z
,https://www.instagram.com/p/DEzKOO2NO0f/,nextkids,,,12,,We spot a cosy looking co-ord ✨#nextkids,2025-01-14T09:00:42.000Z
